name,price
"
            Infinix Note 7        ","
            Rs. 26,499        "
"
            Infinix Note 7 Lite        ","
            Rs. 21,499        "
"
            Oppo Reno 3        ","
            Rs. 58,499        "
"
            Infinix Hot 9        ","
            Rs. 17,199        "
"
            Xiaomi Redmi Note 9S        ","
            Rs. 39,999        "
"
            Samsung Galaxy A51        ","
            Rs. 52,799        "
"
            Huawei Y9s (2019)        ","
            Rs. 40,299        "
"
            Oppo A5 (2020)        ","
            Rs. 27,500        "
"
            Motorola Moto E6 Plus        ","
            Rs. 18,999        "
"
            Oppo A9 (2020)        ","
            Rs. 39,200        "
"
            Oppo Reno 2F        ","
            Rs. 47,750        "
"
            Xiaomi Redmi Note 8        ","
            Rs. 30,550        "
"
            Apple iPhone 7 Plus        ","
            Rs. 105,000        "
"
            Apple iPhone XR        ","
            Rs. 149,000        "
"
            Huawei Mate 20 Pro        ","
            Rs. 110,999        "
"
            Huawei P30        ","
            Rs. 82,999        "
"
            Huawei P30 Pro        ","
            Rs. 147,599        "
"
            Samsung Galaxy S10 Lite        ","
            Rs. 107,999        "
"
            Samsung Galaxy Note 10 Lite        ","
            Rs. 97,999        "
"
            Vivo NEX 3        ","
            Rs. 149,358        "
"
            Sony Xperia 5        ","
            Rs. 141,503        "
"
            Samsung Galaxy Note 10 Pro        ","
            Rs. 148,120        "
"
            Vivo Nex 2        ","
            Rs. 96,796        "
"
            OnePlus 7 Pro        ","
            Rs. 108,999        "
"
            Oppo Reno 3        ","
            Rs. 58,499        "
"
            Samsung Galaxy A51        ","
            Rs. 52,799        "
"
            Samsung Galaxy A71        ","
            Rs. 68,499        "
"
            Oppo Reno 2        ","
            Rs. 77,999        "
"
            Samsung Galaxy A70        ","
            Rs. 58,799        "
"
            Oppo F11 Pro        ","
            Rs. 53,500        "
"
            vivo V15 Pro        ","
            Rs. 54,000        "
"
            Vivo V17 Pro        ","
            Rs. 60,900        "
"
            Oppo Reno 3 Pro        ","
            Rs. 63,250        "
"
            Realme 6 Pro        ","
            Rs. 53,500        "
"
            Vivo V17        ","
            Rs. 58,499        "
"
            Oppo R17 Pro        ","
            Rs. 74,500        "
"
            Samsung Galaxy A50        ","
            Rs. 48,200        "
"
            Realme XT        ","
            Rs. 49,000        "
"
            Huawei Nova 7i        ","
            Rs. 43,499        "
"
            Xiaomi Redmi Note 8 Pro        ","
            Rs. 43,350        "
"
            Oppo Reno 2F        ","
            Rs. 47,750        "
"
            Nokia 7.2        ","
            Rs. 46,700        "
"
            Vivo S1 Pro        ","
            Rs. 43,200        "
"
            Huawei Y9s (2019)        ","
            Rs. 40,299        "
"
            Motorola One Pro        ","
            Rs. 47,398        "
"
            Samsung Galaxy A90e        ","
            Rs. 45,705        "
"
            Huawei Nova 5        ","
            Rs. 46,552        "
"
            HTC Desire 19 Plus        ","
            Rs. 47,398        "
"
            Infinix Note 7        ","
            Rs. 26,499        "
"
            Infinix Note 7 Lite        ","
            Rs. 21,499        "
"
            Infinix S5 Pro        ","
            Rs. 23,099        "
"
            Realme 6i        ","
            Rs. 31,499        "
"
            Xiaomi Redmi Note 9S        ","
            Rs. 39,999        "
"
            Huawei Y7p        ","
            Rs. 28,599        "
"
            Huawei Y6s (2019)        ","
            Rs. 20,499        "
"
            Vivo Y19        ","
            Rs. 29,550        "
"
            Realme 5S        ","
            Rs. 29,600        "
"
            Motorola Moto One Macro        ","
            Rs. 29,499        "
"
            Xiaomi Redmi 8        ","
            Rs. 22,200        "
"
            Huawei Honor 9x        ","
            Rs. 38,499        "
"
            Infinix Hot 9        ","
            Rs. 17,199        "
"
            Tecno Spark 4        ","
            Rs. 16,499        "
"
            Infinix Hot 8 Lite        ","
            Rs. 13,250        "
"
            Motorola Moto E6 Plus        ","
            Rs. 18,999        "
"
            Infinix Hot 8        ","
            Rs. 16,699        "
"
            Nokia 110 (2019)        ","
            Rs. 3,650        "
"
            Samsung Galaxy A10s        ","
            Rs. 19,599        "
"
            Tecno Spark Go        ","
            Rs. 12,250        "
"
            Vivo Y90        ","
            Rs. 15,750        "
"
            Nokia 2.2        ","
            Rs. 13,699        "
"
            Tecno Pop 2F        ","
            Rs. 7,250        "
"
            Realme C2        ","
            Rs. 15,800        "
"
            Apple iPhone 7        ","
            Rs. 63,050        "
"
            Apple iPhone 7 Plus        ","
            Rs. 105,000        "
"
            Apple iPhone XR        ","
            Rs. 149,000        "
"
            Apple iPhone 11 Pro        ","
            Rs. 228,399        "
"
            Apple iPhone 11 Pro Max        ","
            Rs. 247,199        "
"
            Apple iPhone 11        ","
            Rs. 171,899        "
"
            Apple iPhone XS Max        ","
            Rs. 120,399        "
"
            Apple iPhone XS        ","
            Rs. 125,999        "
"
            Apple iPhone 8 Plus        ","
            Rs. 96,999        "
"
            Apple iPhone X        ","
            Rs. 93,999        "
"
            Apple iPhone 8        ","
            Rs. 54,999        "
"
            Apple iPhone 6s Plus        ","
            Rs. 33,899        "
"
            Realme 6        ","
            Rs. 39,200        "
"
            Realme 6 Pro        ","
            Rs. 53,500        "
"
            Samsung Galaxy S21 plus        ","
            Rs. 164,999        "
"
            Tecno Pouvoir 4 Pro        ","
            Rs. 24,999        "
"
            Samsung Galaxy S21 Ultra        ","
            Rs. 219,999        "
"
            OnePlus 8 Pro        ","
            Rs. 108,999        "
